event_id,user_id,session_id,content_id,event_type,device_type,country,watch_seconds,event_timestamp
evt_0,user_452,sess_203,movie_116,play,mobile,US,320,2026-03-07 21:48:09.832590
evt_1,user_592,sess_35,movie_3,play,tablet,AU,200,2026-03-07 00:46:09.832639
evt_2,user_708,sess_355,movie_78,pause,tablet,AU,361,2026-03-08 10:38:09.832665
evt_3,user_531,sess_381,movie_200,complete,tablet,UK,103,2026-03-09 04:28:09.832685
evt_4,user_773,sess_17,movie_43,seek,tablet,AU,432,2026-03-08 22:58:09.832704
evt_5,user_772,sess_41,movie_68,play,smart_tv,AU,470,2026-03-07 19:13:09.832727
evt_6,user_784,sess_238,movie_9,pause,laptop,US,259,2026-03-09 14:49:09.832747
evt_7,user_334,sess_357,movie_68,play,tablet,AU,161,2026-03-10 14:06:09.832769
evt_8,user_170,sess_485,movie_128,seek,smart_tv,UK,21,2026-03-05 23:26:09.832787
evt_9,user_342,sess_361,movie_180,seek,smart_tv,CA,49,2026-03-06 06:11:09.832807
evt_10,user_373,sess_219,movie_160,pause,mobile,US,408,2026-03-05 03:10:09.832825
evt_11,user_465,sess_356,movie_118,play,smart_tv,US,51,2026-03-11 16:48:09.832857
evt_12,user_720,sess_454,movie_108,complete,tablet,CA,393,2026-03-06 14:20:09.832878
evt_13,user_914,sess_435,movie_194,seek,laptop,US,576,2026-03-07 03:58:09.832897
evt_14,user_884,sess_303,movie_54,pause,tablet,AU,176,2026-03-05 09:01:09.832917
evt_15,user_865,sess_446,movie_37,seek,smart_tv,AU,302,2026-03-06 05:17:09.832935
evt_16,user_422,sess_42,movie_110,pause,laptop,UK,101,2026-03-11 18:53:09.832956
evt_17,user_755,sess_245,movie_49,play,tablet,UK,588,2026-03-07 17:57:09.832978
evt_18,user_625,sess_276,movie_169,complete,smart_tv,AU,260,2026-03-08 00:54:09.832998
evt_19,user_577,sess_201,movie_126,seek,mobile,US,190,2026-03-11 16:20:09.833017
evt_20,user_776,sess_282,movie_9,seek,laptop,UK,159,2026-03-07 16:10:09.833037
evt_21,user_757,sess_404,movie_63,complete,mobile,AU,260,2026-03-11 21:23:09.833057
evt_22,user_786,sess_356,movie_195,complete,smart_tv,CA,348,2026-03-06 14:06:09.833076
evt_23,user_927,sess_214,movie_154,complete,tablet,CA,351,2026-03-10 06:40:09.833106
evt_24,user_934,sess_433,movie_1,pause,mobile,US,149,2026-03-09 19:18:09.833126
evt_25,user_259,sess_396,movie_87,pause,laptop,UK,328,2026-03-08 11:41:09.833145
evt_26,user_342,sess_326,movie_29,complete,smart_tv,CA,365,2026-03-09 05:01:09.833165
